actual_context_length,depth_name,samples,retrieval_accuracy,average_prefill_seconds,average_generation_seconds,average_generation_tokens_per_second,peak_prefill_memory_gb,peak_generation_memory_gb
2048,early,3,100.0,2.322835591333387,3.8201330343334425,4.212054158124478,6.473214149475098,6.473231315612793
2048,late,3,100.0,2.5197854296666264,3.81424295200001,4.195866180752654,6.473214149475098,6.473231315612793
2048,middle,3,100.0,2.39964948566679,3.7734686090000955,4.2440361653435845,6.473214149475098,6.473231315612793
4096,early,3,100.0,7.483623045666566,9.338457659666801,1.714143607806439,9.752610206604004,9.752642631530762
4096,late,3,100.0,7.892252985000141,9.707976424000057,1.6481320460791435,9.752610206604004,9.752642631530762
4096,middle,3,100.0,7.910250919999878,9.702523823666676,1.6493711288114996,9.752610206604004,9.752642631530762
