context_length,depth_name,samples,retrieval_accuracy,average_tokens_per_second,peak_memory_gb,minimum_cache_length,maximum_cache_length
2048,early,3,0.0,5.804520663798726,5.645144939422607,512,512
2048,late,3,0.0,5.465947885366867,5.645144939422607,512,512
2048,middle,3,0.0,5.485074786027327,5.645144939422607,512,512
4096,early,3,0.0,3.4792457412589655,6.005565166473389,512,512
4096,late,3,0.0,3.445598061157005,6.005565166473389,512,512
4096,middle,3,0.0,3.4509160161125365,6.005565166473389,512,512
8192,early,3,0.0,1.8953316745508817,6.726542949676514,512,512
8192,late,3,0.0,1.829605462740009,6.726542949676514,512,512
8192,middle,3,0.0,1.8462888246592397,6.726542949676514,512,512
